Id,Label,latitude,city,state,longitude,Cluster_No,PageRank,Component ID,Eccentricity,Closeness Centrality,Betweenness Centrality
"Freedom, New-Hampshire","Freedom, New-Hampshire",43.8129666,Freedom,New-Hampshire,-71.0349899,0,5.989838200514128E-5,0,4.0,2.616382505559674,0.0
"Camarillo, California","Camarillo, California",34.2163937,Camarillo,California,-119.0376023,0,2.283444463161044E-4,0,4.0,2.2116382505559673,75.846558281599
"Orange-Park, Florida","Orange-Park, Florida",30.1660736,Orange-Park,Florida,-81.706484,0,1.9271450991908208E-4,0,4.0,2.381393624907339,14.832809868459792
"Punta-Gorda, Florida","Punta-Gorda, Florida",26.9297836,Punta-Gorda,Florida,-82.0453664,0,1.5449630003105098E-4,0,4.0,2.403261675315048,42.24547026797537
"Simi-Valley, California","Simi-Valley, California",34.2694474,Simi-Valley,California,-118.781482,0,1.5401966283378854E-4,0,4.0,2.3072646404744255,23.595304221866346
"Barre, Vermont","Barre, Vermont",44.1970055,Barre,Vermont,-72.5020494,0,1.1235301310891566E-4,0,4.0,2.37583395107487,0.0
"Natchez, Mississippi","Natchez, Mississippi",31.5604442,Natchez,Mississippi,-91.403171,0,9.861807376743102E-4,0,4.0,1.9636767976278724,1408.2062948975472
"Mansfield, Ohio","Mansfield, Ohio",40.75839,Mansfield,Ohio,-82.5154471,9,1.6507680613879694E-4,0,5.0,2.800963676797628,0.0
"Astoria, New-York","Astoria, New-York",40.7623925,Astoria,New-York,-73.9301037,0,6.394269752231187E-5,0,4.0,2.5800593031875465,0.0
"Nauvoo, Illinois","Nauvoo, Illinois",40.550042,Nauvoo,Illinois,-91.3848749,0,1.0945901006182302E-4,0,4.0,2.3243143068939958,0.20185151125907494
"Greenville, North-Carolina","Greenville, North-Carolina",35.612661,Greenville,North-Carolina,-77.3663538,0,2.2260429967753103E-4,0,4.0,2.2449962935507783,75.78799596170558
"Hocking-Hills-State-Park, Ohio","Hocking-Hills-State-Park, Ohio",39.4379693,Hocking-Hills-State-Park,Ohio,-82.5371307,0,9.002386407569579E-4,0,4.0,1.9670126019273535,379.4783869516428
"Great-Basin-NP, Nevada","Great-Basin-NP, Nevada",38.8026097,Great-Basin-NP,Nevada,-116.419389,0,1.4770234932674813E-4,0,4.0,2.2372127501853223,55.90562183537129
"Danvers, Massachusetts","Danvers, Massachusetts",42.5750009,Danvers,Massachusetts,-70.932122,0,1.3502562388969724E-4,0,4.0,2.2865085248332098,20.712365529325893
"Jackson, Wyoming","Jackson, Wyoming",43.4799291,Jackson,Wyoming,-110.7624282,0,0.0014509490737412535,0,4.0,1.908450704225352,8454.322281221885
"Winona, Minnesota","Winona, Minnesota",44.0478889,Winona,Minnesota,-91.6404389,0,2.0341458881753714E-4,0,4.0,2.1916234247590807,16.79612461879789
"Stateline, Nevada","Stateline, Nevada",38.9624079,Stateline,Nevada,-119.9399029,0,9.508553606428407E-5,0,4.0,2.4570051890289104,0.0
"Colcord, Oklahoma","Colcord, Oklahoma",36.264249,Colcord,Oklahoma,-94.6930014,4,2.264215655398949E-4,0,4.0,2.292068198665678,0.0
"Sauk-Centre-, Minnesota","Sauk-Centre-, Minnesota",45.737465,Sauk-Centre-,Minnesota,-94.9525216,0,4.8162562862739803E-4,0,4.0,2.092290585618977,63.948987405542496
"Brandon, Vermont","Brandon, Vermont",43.7981572,Brandon,Vermont,-73.087648,0,1.1245002301164285E-4,0,4.0,2.6052631578947367,0.0
"Weirs-Beach, New-Hampshire","Weirs-Beach, New-Hampshire",43.6088889,Weirs-Beach,New-Hampshire,-71.4605556,0,6.370388508036384E-4,0,4.0,2.0181616011860637,0.0
"Eagan, Minnesota","Eagan, Minnesota",44.8041322,Eagan,Minnesota,-93.1668858,0,7.128389065794387E-5,0,4.0,2.5092661230541142,0.0
"Big-Island, Hawaii","Big-Island, Hawaii",19.5429151,Big-Island,Hawaii,-155.6658568,0,0.0014736022503830852,0,3.0,1.9210526315789473,10909.144841768366
"Corry, Pennsylvania","Corry, Pennsylvania",41.9203337,Corry,Pennsylvania,-79.6403287,0,8.431912040937385E-5,0,4.0,2.7790956263899185,0.0
"Temple, Texas","Temple, Texas",31.0982344,Temple,Texas,-97.342782,0,1.43166415465922E-4,0,4.0,2.4210526315789473,0.0
"Beaufort, South-Carolina","Beaufort, South-Carolina",32.4315813,Beaufort,South-Carolina,-80.6698286,0,5.283361485225882E-4,0,4.0,2.1619718309859155,8148.795034588998
"Minden, Nevada","Minden, Nevada",38.9540739,Minden,Nevada,-119.7657332,0,1.8591786365266757E-4,0,4.0,2.470348406226835,0.0
"Bexley, Ohio","Bexley, Ohio",39.9689532,Bexley,Ohio,-82.9376804,0,7.518891200584537E-5,0,4.0,2.570051890289103,0.0
"Manitou-Springs, Colorado","Manitou-Springs, Colorado",38.8597127,Manitou-Springs,Colorado,-104.9171989,0,4.3963306900676605E-4,0,4.0,2.0893254262416603,386.4689285552061
"Lassen-Volcanic-National-Park, California","Lassen-Volcanic-National-Park, California",40.4978916,Lassen-Volcanic-National-Park,California,-121.4121918,0,4.645505579487268E-4,0,4.0,2.1641957005189028,1134.5235880138262
"Vancouver, Washington","Vancouver, Washington",45.6387281,Vancouver,Washington,-122.6614861,2,3.924965465296864E-4,0,4.0,2.2201630837657524,352.4655452821556
"Eagle, Alaska","Eagle, Alaska",64.7880556,Eagle,Alaska,-141.2,0,6.26178831198555E-4,0,4.0,2.0533728687916977,548.806479151807
"Snowmass, Colorado","Snowmass, Colorado",39.3310273,Snowmass,Colorado,-106.9848271,0,1.8716749713845282E-4,0,4.0,2.4362490733876947,0.0
"Gautier, Mississippi","Gautier, Mississippi",30.385755,Gautier,Mississippi,-88.6116854,0,2.2743988663777214E-4,0,4.0,2.1816160118606374,92.74642946696149
"West-Glacier, Montana","West-Glacier, Montana",48.4949755,West-Glacier,Montana,-113.9810756,0,8.161278695455721E-4,0,4.0,2.0500370644922166,5047.248680025197
"Yucca-Valley, California","Yucca-Valley, California",34.1141743,Yucca-Valley,California,-116.432235,0,1.2494499456147312E-4,0,4.0,2.469236471460341,0.0
"Dexter, Michigan","Dexter, Michigan",42.3383697,Dexter,Michigan,-83.8885552,0,1.342842846170949E-4,0,4.0,2.2505559673832467,0.0
"Ocean-Shores, Washington","Ocean-Shores, Washington",46.9736986,Ocean-Shores,Washington,-124.1562852,0,4.3934604305073856E-4,0,4.0,2.123054114158636,359.1631041886909
"Flint, Michigan","Flint, Michigan",43.0125274,Flint,Michigan,-83.6874562,0,6.136887537244438E-5,0,5.0,3.329132690882135,0.0
"Brian-Head, Utah","Brian-Head, Utah",37.6927551,Brian-Head,Utah,-112.8507766,0,7.940325387119268E-5,0,4.0,2.4514455151964416,0.0
"Silver-Spring, Maryland","Silver-Spring, Maryland",38.9906657,Silver-Spring,Maryland,-77.026088,0,2.694170276516401E-4,0,4.0,2.197553743513714,253.38479997635855
"Clarksville, Arkansas","Clarksville, Arkansas",35.4714724,Clarksville,Arkansas,-93.4665731,0,1.8657834650067038E-4,0,4.0,2.3584136397331354,0.0
"Fort-Smith, Arkansas","Fort-Smith, Arkansas",35.3859242,Fort-Smith,Arkansas,-94.3985475,0,2.506597282792663E-4,0,4.0,2.263157894736842,10.988594485831275
"Corfu, New-York","Corfu, New-York",42.9600595,Corfu,New-York,-78.4055767,0,6.23524286019208E-5,0,4.0,2.770200148257969,0.0
"Falls-Church, Virginia","Falls-Church, Virginia",38.882334,Falls-Church,Virginia,-77.1710914,0,9.529689858238582E-5,0,4.0,2.4696071163825057,0.0
"Colorado-Springs, Colorado","Colorado-Springs, Colorado",38.8338816,Colorado-Springs,Colorado,-104.8213634,0,0.0019243490044591996,0,4.0,1.8695329873980726,24634.822909716364
"Farmington, Maine","Farmington, Maine",44.6704998,Farmington,Maine,-70.1512169,0,3.6222192832948953E-4,0,4.0,2.2776130467012603,729.0592666113084
"Beckley, West-Virginia","Beckley, West-Virginia",37.7781702,Beckley,West-Virginia,-81.1881557,6,2.946774806449776E-4,0,4.0,2.297627872498147,256.93864470291646
"Concrete, Washington","Concrete, Washington",48.5392813,Concrete,Washington,-121.7462513,0,2.099840956551237E-4,0,4.0,2.4466271312083023,0.0
"Stanford, California","Stanford, California",37.424106,Stanford,California,-122.1660756,0,2.7614348080551624E-4,0,4.0,2.1104521868050408,66.46126406337287
"Rock-Hill, South-Carolina","Rock-Hill, South-Carolina",34.9248667,Rock-Hill,South-Carolina,-81.0250784,0,1.4372207429336263E-4,0,4.0,2.717939214232765,0.0
"Edna, Texas","Edna, Texas",28.9785947,Edna,Texas,-96.6460877,0,1.2210189778764845E-4,0,4.0,2.7954040029651592,0.0
"Bodega, California","Bodega, California",38.345194,Bodega,California,-122.9738878,0,1.683222417757627E-4,0,4.0,2.353595255744996,0.0
"Long-Beach, Mississippi","Long-Beach, Mississippi",30.3504751,Long-Beach,Mississippi,-89.1528176,0,1.1031252885565649E-4,0,4.0,2.6667902149740548,0.0
"Las-Cruces, New-Mexico","Las-Cruces, New-Mexico",32.3199396,Las-Cruces,New-Mexico,-106.7636538,0,8.81498996861325E-4,0,4.0,1.9929577464788732,2106.4206793539347
"Heber-Overgaard, Arizona","Heber-Overgaard, Arizona",34.4130556,Heber-Overgaard,Arizona,-110.5644444,0,1.0245938085792083E-4,0,4.0,2.3602668643439584,0.38589329360014013
"Des-Moines, Iowa","Des-Moines, Iowa",41.6005448,Des-Moines,Iowa,-93.6091064,0,6.747955663585411E-4,0,4.0,2.024091919940697,2206.882306132203
"Fortuna, California","Fortuna, California",40.5981867,Fortuna,California,-124.1572756,0,2.2269432606281445E-4,0,4.0,2.2260934025203856,216.74056136140987
"Carmel, Indiana","Carmel, Indiana",39.978371,Carmel,Indiana,-86.1180435,0,2.052517008459899E-4,0,4.0,2.375092661230541,0.0
"Larned, Kansas","Larned, Kansas",38.1805693,Larned,Kansas,-99.098713,8,1.7169885073464267E-4,0,4.0,2.53002223869533,0.0
"Leesburg, Virginia","Leesburg, Virginia",39.1156615,Leesburg,Virginia,-77.5636015,0,2.9505316779813745E-4,0,4.0,2.284655300222387,363.7724289919798
"Columbus, Mississippi","Columbus, Mississippi",33.4956744,Columbus,Mississippi,-88.4272627,1,4.315848283086817E-4,0,4.0,2.1604892512972573,0.0
"Trapper-Creek, Alaska","Trapper-Creek, Alaska",62.3166667,Trapper-Creek,Alaska,-150.2313889,0,1.998589052638216E-4,0,4.0,2.2954040029651592,0.0
"Mena, Arkansas","Mena, Arkansas",34.5862171,Mena,Arkansas,-94.2396554,0,2.0525713607780907E-4,0,4.0,2.346182357301705,110.83677262168924
